price updated
price updated
price updated
price updated
price updated
price updated
price updated
price updated
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 44, in <module>
    print(str(datetime.now())+' -- price updated')
NameError: name 'datetime' is not defined
2019-09-30 13:51:03.250697 -- price updated
2019-09-30 13:54:02.560404 -- price updated
2019-09-30 13:57:02.795842 -- price updated
2019-09-30 14:00:03.620259 -- price updated
2019-09-30 14:03:02.927072 -- price updated
2019-09-30 14:06:02.350065 -- price updated
2019-09-30 14:09:02.802512 -- price updated
2019-09-30 14:12:02.917517 -- price updated
2019-09-30 14:15:03.788169 -- price updated
2019-09-30 14:18:03.065885 -- price updated
2019-09-30 14:21:02.980486 -- price updated
2019-09-30 14:24:02.196314 -- price updated
2019-09-30 14:27:02.583269 -- price updated
2019-09-30 14:30:03.725656 -- price updated
2019-09-30 14:33:03.065044 -- price updated
2019-09-30 14:36:02.441257 -- price updated
2019-09-30 14:39:02.765076 -- price updated
2019-09-30 14:42:02.720255 -- price updated
2019-09-30 14:45:03.422879 -- price updated
2019-09-30 14:48:02.825163 -- price updated
2019-09-30 14:51:02.742724 -- price updated
2019-09-30 14:54:02.981035 -- price updated
2019-09-30 14:57:03.018982 -- price updated
2019-09-30 15:00:03.040593 -- price updated
2019-09-30 15:03:02.345254 -- price updated
2019-09-30 15:06:02.793960 -- price updated
2019-09-30 15:09:03.421099 -- price updated
2019-09-30 15:12:02.415606 -- price updated
2019-09-30 15:15:03.340114 -- price updated
2019-09-30 15:18:03.075270 -- price updated
2019-09-30 15:21:03.100568 -- price updated
2019-09-30 15:24:02.396207 -- price updated
2019-09-30 15:27:03.026184 -- price updated
2019-09-30 15:30:02.996219 -- price updated
2019-09-30 15:33:02.353348 -- price updated
2019-09-30 15:36:03.011173 -- price updated
2019-09-30 15:39:02.299647 -- price updated
2019-09-30 15:42:02.213724 -- price updated
2019-09-30 15:45:02.950346 -- price updated
2019-09-30 15:48:02.456793 -- price updated
2019-09-30 15:51:02.482249 -- price updated
2019-09-30 15:54:02.788099 -- price updated
2019-09-30 15:57:03.118445 -- price updated
2019-09-30 16:00:03.638973 -- price updated
2019-09-30 16:03:03.144325 -- price updated
2019-09-30 16:06:02.487782 -- price updated
2019-09-30 16:09:02.883801 -- price updated
2019-09-30 16:12:02.691348 -- price updated
